time,value
2017-12-31 01:00:00,9552.1
2017-12-31 02:00:00,9500.9
2017-12-31 03:00:00,9319.5
2017-12-31 04:00:00,9191.2
2017-12-31 05:00:00,9247.9
2017-12-31 06:00:00,9541
2017-12-31 07:00:00,9717.1
2017-12-31 08:00:00,9773.2
2017-12-31 09:00:00,9698.2
2017-12-31 10:00:00,9470.9
2017-12-31 11:00:00,9433.9
2017-12-31 12:00:00,9406.7
2017-12-31 13:00:00,9413.2
2017-12-31 14:00:00,9181.9
2017-12-31 15:00:00,9407.7
2017-12-31 16:00:00,9698.5
2017-12-31 17:00:00,10038.9
2017-12-31 18:00:00,10421
2017-12-31 19:00:00,10614.7
2017-12-31 20:00:00,10548
2017-12-31 21:00:00,10552.6
2017-12-31 22:00:00,10747.6
2017-12-31 23:00:00,10514
2018-01-01 00:00:00,10330.9
2018-01-01 01:00:00,10087.4
2018-01-01 02:00:00,9809.5
2018-01-01 03:00:00,9807.6
2018-01-01 04:00:00,9704.8
2018-01-01 05:00:00,9811.1
2018-01-01 06:00:00,9637.8
2018-01-01 07:00:00,9375.9
2018-01-01 08:00:00,9152.4
2018-01-01 09:00:00,9200.5
2018-01-01 10:00:00,9426.6
2018-01-01 11:00:00,9071.8
2018-01-01 12:00:00,8485
2018-01-01 13:00:00,8231.9
2018-01-01 14:00:00,9073.4
2018-01-01 15:00:00,10015.3
2018-01-01 16:00:00,10241.7
2018-01-01 17:00:00,10229.7
2018-01-01 18:00:00,10097
2018-01-01 19:00:00,10051.9
2018-01-01 20:00:00,9638.6
2018-01-01 21:00:00,9300.9
2018-01-01 22:00:00,9173.8
2018-01-01 23:00:00,8852.4
2018-01-02 00:00:00,8551.5
2018-01-02 01:00:00,7964.4
2018-01-02 02:00:00,7419.5
2018-01-02 03:00:00,6978.5
2018-01-02 04:00:00,6222.1
2018-01-02 05:00:00,5323.2
2018-01-02 06:00:00,4796.5
2018-01-02 07:00:00,4595.7
2018-01-02 08:00:00,4472.1
2018-01-02 09:00:00,4186.4
2018-01-02 10:00:00,4178.4
2018-01-02 11:00:00,4582.1
2018-01-02 12:00:00,5082.9
2018-01-02 13:00:00,6004
2018-01-02 14:00:00,7266.8
2018-01-02 15:00:00,8062.9
2018-01-02 16:00:00,8628.6
2018-01-02 17:00:00,8858.2
2018-01-02 18:00:00,9343.3
2018-01-02 19:00:00,9773.2
2018-01-02 20:00:00,10023.8
2018-01-02 21:00:00,10441.4
2018-01-02 22:00:00,10834.4
2018-01-02 23:00:00,10975.9
2018-01-03 00:00:00,10788.5
2018-01-03 01:00:00,10244.4
2018-01-03 02:00:00,9952.6
2018-01-03 03:00:00,9564.9
2018-01-03 04:00:00,8839.5
2018-01-03 05:00:00,8892.7
2018-01-03 06:00:00,9088.4
2018-01-03 07:00:00,9271.8
2018-01-03 08:00:00,9769.4
2018-01-03 09:00:00,10001.2
2018-01-03 10:00:00,10230.7
2018-01-03 11:00:00,10301
2018-01-03 12:00:00,10461.7
2018-01-03 13:00:00,10419.5
2018-01-03 14:00:00,10353.6
2018-01-03 15:00:00,10160.3
2018-01-03 16:00:00,10184.8
2018-01-03 17:00:00,10027
2018-01-03 18:00:00,9294.5
2018-01-03 19:00:00,8827.5
2018-01-03 20:00:00,8724.2
2018-01-03 21:00:00,8641.2
2018-01-03 22:00:00,8386.8
2018-01-03 23:00:00,7697.7
2018-01-04 00:00:00,7401.9
2018-01-04 01:00:00,7020.6
2018-01-04 02:00:00,6638.9
2018-01-04 03:00:00,6418.3
2018-01-04 04:00:00,6666.9
2018-01-04 05:00:00,7226.2
2018-01-04 06:00:00,8161.4
2018-01-04 07:00:00,9042.2
2018-01-04 08:00:00,10026.8
2018-01-04 09:00:00,10641.6
2018-01-04 10:00:00,10856.8
2018-01-04 11:00:00,10889.4
2018-01-04 12:00:00,10701.2
2018-01-04 13:00:00,10718.8
2018-01-04 14:00:00,10509.7
2018-01-04 15:00:00,10291.6
2018-01-04 16:00:00,10259
2018-01-04 17:00:00,9999.3
2018-01-04 18:00:00,9528.6
